,Backbone,Dataset,MC Samples,# of Frames,Prediction Model,Seed,Uncertainty Measure,Aggregation Type,OOD Detection Rate,OOD AUROC,TTA Transforms
38,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,pred_entropy_mask,Patch Level,0.58,0.528304,()
39,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,pred_entropy_class,Patch Level,0.672,0.5771999999999999,()
40,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,norm_sigmoid_mask_score,Patch Level,0.458,0.47548399999999996,()
41,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,mutual_information_mask,Patch Level,0.538,0.546776,()
42,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,expected_variance_mask,Patch Level,0.414,0.44814000000000004,()
43,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,pred_variance_mask,Patch Level,0.42,0.448568,()
44,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,pred_entropy_mask,Patch Level,0.606,0.5606760000000001,"('horizontalFlip',)"
45,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,pred_entropy_mask,Image Level,0.794,0.595444,"('horizontalFlip',)"
46,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,mutual_information_mask,Image Level,0.782,0.627124,"('horizontalFlip',)"
47,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,expected_entropy_class,Patch Level,0.374,0.45354000000000005,"('horizontalFlip',)"
48,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,expected_entropy_class,Image Level,0.63,0.530972,"('horizontalFlip',)"
49,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,expected_variance_mask,Patch Level,0.506,0.5073799999999999,"('horizontalFlip',)"
50,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,expected_variance_mask,Image Level,0.27,0.450396,"('horizontalFlip',)"
51,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,pred_entropy_class,Image Level,0.85,0.60194,"('horizontalFlip',)"
52,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,mutual_information_class,Patch Level,0.852,0.8108,"('horizontalFlip',)"
53,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,mutual_information_class,Image Level,0.934,0.7598480000000001,"('horizontalFlip',)"
54,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,softmax_cls_score,Image Level,0.794,0.602468,"('horizontalFlip',)"
55,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,norm_sigmoid_mask_score,Patch Level,0.552,0.5366960000000001,"('horizontalFlip',)"
56,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,norm_sigmoid_mask_score,Image Level,0.67,0.5801879999999999,"('horizontalFlip',)"
57,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,pred_variance_mask,Patch Level,0.492,0.503652,"('horizontalFlip',)"
58,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,class_mask_combined_score,Image Level,0.786,0.5996239999999999,"('horizontalFlip',)"
59,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,mutual_information_mask,Patch Level,0.578,0.557968,"('horizontalFlip',)"
60,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,pred_entropy_class,Patch Level,0.6,0.5402359999999999,"('horizontalFlip',)"
61,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,expected_entropy_mask,Patch Level,0.498,0.504172,"('horizontalFlip',)"
62,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,expected_entropy_mask,Image Level,0.692,0.531844,"('horizontalFlip',)"
63,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,softmax_cls_score,Patch Level,0.502,0.511076,"('horizontalFlip',)"
64,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,class_mask_combined_score,Patch Level,0.492,0.504648,"('horizontalFlip',)"
65,Swin-B,Cityscapes OOD,5,1,MCDropout+TTA+Timeseries,3,pred_variance_mask,Image Level,0.128,0.402668,"('horizontalFlip',)"
66,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,pred_entropy_mask,Patch Level,0.724,0.6424559999999999,"('horizontalFlip',)"
67,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,expected_entropy_mask,Patch Level,0.78,0.679252,"('horizontalFlip',)"
68,ResNet50,Cityscapes OOD (VIPER model),3,0,MCDropout+TTA,1,expected_entropy_mask,Image Level,0.874,0.738272,"('horizontalFlip',)"
