Dataset,Backbone,MC Samples,# of Frames,TTA Transforms,Seed,AURC-PQ,EAURC-PQ,AURC-IoU,EAURC-IoU,AURC-DICE,EAURC-DICE
Cityscapes,DINOv2 (ViT-B),0,0,(),1,0.39322533294706735,0.06528231473149171,0.07046743447827082,0.011221289712124737,0.03684751287437387,0.006175078259016295
Cityscapes,DINOv2 (ViT-B),0,0,"('horizontalFlip',)",1,0.37242668094738396,0.05892077321187272,0.06789228083661042,0.01135259869233532,0.035441961186683295,0.00621388378170034
Cityscapes,DINOv2 (ViT-B),0,0,"('horizontalFlip',)",2,0.37242668094738396,0.05892077321187272,0.06789228083661042,0.01135259869233532,0.035441961186683295,0.00621388378170034
Cityscapes,DINOv2 (ViT-B),0,0,"('horizontalFlip',)",3,0.37242668094738396,0.05892077321187272,0.06789228083661042,0.01135259869233532,0.035441961186683295,0.00621388378170034
Cityscapes,DINOv2 (ViT-B),0,0,"('horizontalFlip', 'scale')",1,0.3858509165001268,0.06160820026775793,0.0666468986134772,0.010844140815532997,0.0347500835432467,0.005904324828592791
Cityscapes,DINOv2 (ViT-B),0,0,"('horizontalFlip', 'scale')",2,0.3858509165001268,0.06160820026775793,0.0666468986134772,0.010844140815532997,0.0347500835432467,0.005904324828592791
Cityscapes,DINOv2 (ViT-B),0,0,"('horizontalFlip', 'scale')",3,0.3858509165001268,0.06160820026775793,0.0666468986134772,0.010844140815532997,0.0347500835432467,0.005904324828592791
Cityscapes,DINOv2 (ViT-B),0,0,"('scale',)",1,0.4293750016880671,0.06173941418526263,0.07727196365566028,0.011346798172320607,0.0405488734037015,0.006278354648563023
Cityscapes,DINOv2 (ViT-B),0,0,"('scale',)",2,0.4293750016880671,0.06173941418526263,0.07727196365566028,0.011346798172320607,0.0405488734037015,0.006278354648563023
Cityscapes,DINOv2 (ViT-B),0,0,"('scale',)",3,0.4293750016880671,0.06173941418526263,0.07727196365566028,0.011346798172320607,0.0405488734037015,0.006278354648563023
Cityscapes,DINOv2 (ViT-B),0,1,(),1,0.38395194187015214,0.05993429827164437,0.07008344393115834,0.011222369426831351,0.036651711832838545,0.006184377882746412
Cityscapes,DINOv2 (ViT-B),0,1,(),2,0.38395194187015214,0.05993429827164437,0.07008344393115834,0.011222369426831351,0.036651711832838545,0.006184377882746412
Cityscapes,DINOv2 (ViT-B),0,1,(),3,0.38395194187015214,0.05993429827164437,0.07008344393115834,0.011222369426831351,0.036651711832838545,0.006184377882746412
Cityscapes,DINOv2 (ViT-B),0,1,"('horizontalFlip',)",1,0.36761009425788443,0.058563765153263336,0.06766674086058226,0.011454870793094159,0.03533576148140165,0.006280069643003244
Cityscapes,DINOv2 (ViT-B),0,1,"('horizontalFlip',)",2,0.36761009425788443,0.058563765153263336,0.06766674086058226,0.011454870793094159,0.03533576148140165,0.006280069643003244
Cityscapes,DINOv2 (ViT-B),0,1,"('horizontalFlip',)",3,0.36761009425788443,0.058563765153263336,0.06766674086058226,0.011454870793094159,0.03533576148140165,0.006280069643003244
Cityscapes,DINOv2 (ViT-B),0,1,"('horizontalFlip', 'scale')",1,0.38390267477548395,0.06312345640830103,0.06652481497966839,0.010882735104991437,0.03468110340000403,0.005920290231644695
Cityscapes,DINOv2 (ViT-B),0,1,"('horizontalFlip', 'scale')",2,0.38390267477548395,0.06312345640830103,0.06652481497966839,0.010882735104991437,0.03468110340000403,0.005920290231644695
Cityscapes,DINOv2 (ViT-B),0,1,"('horizontalFlip', 'scale')",3,0.38390267477548395,0.06312345640830103,0.06652481497966839,0.010882735104991437,0.03468110340000403,0.005920290231644695
Cityscapes,DINOv2 (ViT-B),0,1,"('scale',)",1,0.4263913799923223,0.05946053641992194,0.07660199606341664,0.011171995462411474,0.04016871138361282,0.0061698242066668685
Cityscapes,DINOv2 (ViT-B),0,1,"('scale',)",2,0.4263913799923223,0.05946053641992194,0.07660199606341664,0.011171995462411474,0.04016871138361282,0.0061698242066668685
Cityscapes,DINOv2 (ViT-B),0,1,"('scale',)",3,0.4263913799923223,0.05946053641992194,0.07660199606341664,0.011171995462411474,0.04016871138361282,0.0061698242066668685
Cityscapes,DINOv2 (ViT-B),0,2,(),1,0.3841873187647521,0.05687584172714283,0.07099648026492932,0.0114070935084669,0.03714140031212793,0.006283787815439482
Cityscapes,DINOv2 (ViT-B),0,2,(),2,0.3841873187647521,0.05687584172714283,0.07099648026492932,0.0114070935084669,0.03714140031212793,0.006283787815439482
Cityscapes,DINOv2 (ViT-B),0,2,(),3,0.3841873187647521,0.05687584172714283,0.07099648026492932,0.0114070935084669,0.03714140031212793,0.006283787815439482
Cityscapes,DINOv2 (ViT-B),0,2,"('horizontalFlip',)",1,0.37235210304454774,0.059275907230317115,0.06867992532575934,0.011594847100126315,0.03583972074996453,0.006317766032304842
Cityscapes,DINOv2 (ViT-B),0,2,"('horizontalFlip',)",2,0.37235210304454774,0.059275907230317115,0.06867992532575934,0.011594847100126315,0.03583972074996453,0.006317766032304842
Cityscapes,DINOv2 (ViT-B),0,2,"('horizontalFlip',)",3,0.37235210304454774,0.059275907230317115,0.06867992532575934,0.011594847100126315,0.03583972074996453,0.006317766032304842
Cityscapes,DINOv2 (ViT-B),0,2,"('horizontalFlip', 'scale')",1,0.3858991383777602,0.06291133187238962,0.06735813301001799,0.011052966309943589,0.0351306368334673,0.006017063988179042
Cityscapes,DINOv2 (ViT-B),0,2,"('horizontalFlip', 'scale')",2,0.3858991383777602,0.06291133187238962,0.06735813301001799,0.011052966309943589,0.0351306368334673,0.006017063988179042
Cityscapes,DINOv2 (ViT-B),0,2,"('horizontalFlip', 'scale')",3,0.3858991383777602,0.06291133187238962,0.06735813301001799,0.011052966309943589,0.0351306368334673,0.006017063988179042
Cityscapes,DINOv2 (ViT-B),0,2,"('scale',)",1,0.42510439914537657,0.05764720546621371,0.07678254175422893,0.011013384125876838,0.040257971816898504,0.006078198027795308
Cityscapes,DINOv2 (ViT-B),0,2,"('scale',)",2,0.42510439914537657,0.05764720546621371,0.07678254175422893,0.011013384125876838,0.040257971816898504,0.006078198027795308
Cityscapes,DINOv2 (ViT-B),0,2,"('scale',)",3,0.42510439914537657,0.05764720546621371,0.07678254175422893,0.011013384125876838,0.040257971816898504,0.006078198027795308
Cityscapes,DINOv2 (ViT-B),0,3,(),1,0.3895665279661603,0.05765415682282787,0.07164101669245339,0.011333743872869402,0.0374844314259461,0.006243516416811892
Cityscapes,DINOv2 (ViT-B),0,3,(),2,0.3895665279661603,0.05765415682282787,0.07164101669245339,0.011333743872869402,0.0374844314259461,0.006243516416811892
Cityscapes,DINOv2 (ViT-B),0,3,(),3,0.3895665279661603,0.05765415682282787,0.07164101669245339,0.011333743872869402,0.0374844314259461,0.006243516416811892
Cityscapes,DINOv2 (ViT-B),0,3,"('horizontalFlip',)",1,0.3769311944911579,0.058038034469401756,0.06953750386603051,0.011594551203823765,0.03630126627976791,0.006322433083166858
