Dataset,Backbone,MC Samples,# of Frames,TTA Transforms,Seed,OOD Detection Rate,OOD AUROC
Cityscapes OOD,DINOv2 (ViT-B),3,0,"('horizontalFlip',)",3,0.804,0.64598
Cityscapes OOD,DINOv2 (ViT-B),3,0,"('horizontalFlip', 'scale')",1,0.868,0.657736
Cityscapes OOD,DINOv2 (ViT-B),3,0,"('horizontalFlip', 'scale')",2,0.86,0.656248
Cityscapes OOD,DINOv2 (ViT-B),3,0,"('horizontalFlip', 'scale')",3,0.866,0.655252
Cityscapes OOD,DINOv2 (ViT-B),3,0,"('scale',)",1,0.852,0.672096
Cityscapes OOD,DINOv2 (ViT-B),3,0,"('scale',)",2,0.85,0.672268
Cityscapes OOD,DINOv2 (ViT-B),3,0,"('scale',)",3,0.87,0.673948
Cityscapes OOD,DINOv2 (ViT-B),3,1,(),1,0.896,0.74108
Cityscapes OOD,DINOv2 (ViT-B),3,1,(),2,0.88,0.7285039999999999
Cityscapes OOD,DINOv2 (ViT-B),3,1,(),3,0.906,0.741436
Cityscapes OOD,DINOv2 (ViT-B),3,1,"('horizontalFlip',)",1,0.894,0.7069880000000002
Cityscapes OOD,DINOv2 (ViT-B),3,1,"('horizontalFlip',)",2,0.906,0.7037439999999999
Cityscapes OOD,DINOv2 (ViT-B),3,1,"('horizontalFlip',)",3,0.898,0.7066759999999999
Cityscapes OOD,DINOv2 (ViT-B),3,1,"('scale',)",1,0.938,0.7070759999999999
Cityscapes OOD,DINOv2 (ViT-B),3,1,"('scale',)",2,0.942,0.711524
Cityscapes OOD,DINOv2 (ViT-B),3,1,"('scale',)",3,0.93,0.7033280000000001
Cityscapes OOD,DINOv2 (ViT-B),3,2,(),1,0.894,0.710068
Cityscapes OOD,DINOv2 (ViT-B),3,2,(),2,0.908,0.708628
Cityscapes OOD,DINOv2 (ViT-B),3,2,(),3,0.9,0.702428
Cityscapes OOD,DINOv2 (ViT-B),3,2,"('horizontalFlip',)",1,0.896,0.675684
Cityscapes OOD,DINOv2 (ViT-B),3,2,"('horizontalFlip',)",2,0.902,0.674976
Cityscapes OOD,DINOv2 (ViT-B),3,2,"('horizontalFlip',)",3,0.912,0.6781320000000001
Cityscapes OOD,DINOv2 (ViT-B),3,3,(),1,0.884,0.68174
Cityscapes OOD,DINOv2 (ViT-B),3,3,(),2,0.906,0.6818679999999999
Cityscapes OOD,DINOv2 (ViT-B),3,3,(),3,0.872,0.6798199999999999
Cityscapes OOD,DINOv2 (ViT-B),3,5,(),1,0.852,0.639804
Cityscapes OOD,DINOv2 (ViT-B),3,5,(),2,0.87,0.6394880000000001
Cityscapes OOD,DINOv2 (ViT-B),3,5,(),3,0.864,0.642164
Cityscapes OOD,DINOv2 (ViT-B),5,0,(),1,0.756,0.6383320000000001
Cityscapes OOD,DINOv2 (ViT-B),5,0,(),2,0.744,0.6337480000000001
Cityscapes OOD,DINOv2 (ViT-B),5,0,(),3,0.78,0.641692
Cityscapes OOD,DINOv2 (ViT-B),5,0,"('horizontalFlip',)",1,0.812,0.646792
Cityscapes OOD,DINOv2 (ViT-B),5,0,"('horizontalFlip',)",2,0.802,0.648584
Cityscapes OOD,DINOv2 (ViT-B),5,0,"('horizontalFlip',)",3,0.796,0.6414920000000001
Cityscapes OOD,DINOv2 (ViT-B),5,0,"('scale',)",1,0.856,0.664752
Cityscapes OOD,DINOv2 (ViT-B),5,0,"('scale',)",2,0.876,0.66862
Cityscapes OOD,DINOv2 (ViT-B),5,0,"('scale',)",3,0.872,0.666376
Cityscapes OOD,DINOv2 (ViT-B),5,1,(),1,0.914,0.7359600000000001
Cityscapes OOD,DINOv2 (ViT-B),5,1,(),2,0.916,0.7381679999999999
Cityscapes OOD,DINOv2 (ViT-B),5,1,(),3,0.916,0.7338719999999999
Cityscapes OOD,DINOv2 (ViT-B),5,1,"('horizontalFlip',)",1,0.894,0.6993320000000001
Cityscapes OOD,DINOv2 (ViT-B),5,1,"('horizontalFlip',)",2,0.916,0.704432
Cityscapes OOD,DINOv2 (ViT-B),5,1,"('horizontalFlip',)",3,0.918,0.7039559999999999
Cityscapes OOD,DINOv2 (ViT-B),5,2,(),1,0.916,0.707792
Cityscapes OOD,DINOv2 (ViT-B),5,2,(),2,0.91,0.707172
Cityscapes OOD,DINOv2 (ViT-B),5,2,(),3,0.91,0.7006479999999999
Cityscapes OOD,DINOv2 (ViT-B),5,3,(),1,0.898,0.676072
Cityscapes OOD,DINOv2 (ViT-B),5,3,(),2,0.906,0.680072
Cityscapes OOD,DINOv2 (ViT-B),5,3,(),3,0.91,0.678132
Cityscapes OOD,DINOv2 (ViT-B),10,0,(),1,0.778,0.642072
Cityscapes OOD,DINOv2 (ViT-B),10,0,(),2,0.772,0.6414839999999999
Cityscapes OOD,DINOv2 (ViT-B),10,0,(),3,0.81,0.638908
Cityscapes OOD,DINOv2 (ViT-B),10,0,"('horizontalFlip',)",1,0.798,0.64484
