,Backbone,Dataset,TTA Transforms,# of Frames,Panoptic Aggregation Method,Prediction Model,Seed,PQ-All,RQ-All,SQ-All,PQ-Global,RQ-Global,SQ-Global,PQ-Things,RQ-Things,SQ-Things,PQ-Stuff,RQ-Stuff,SQ-Stuff,mIoU,mDICE,gIoU,gDICE,Uncertainty Measure,Aggregation Type,AURC-PQ,EAURC-PQ,AURC-IoU,EAURC-IoU,AURC-DICE,EAURC-DICE,Panoptic Class - ECE,Panoptic Class - MCE,Panoptic Class - ACE,Semantic Class - ECE,Semantic Class - MCE,Semantic Class - ACE,MC Samples
0,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,expected_entropy_mask,Patch Level,0.4373227829100352,0.12505168933078054,0.05957365423082843,0.0159626232767556,0.030990557289359844,0.008608731261202748,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
1,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,expected_entropy_mask,Image Level,0.4179553303209745,0.10568423674171984,0.05310364069357873,0.0094926097395059,0.02749878316025926,0.005116957132102164,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
2,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,expected_entropy_class,Patch Level,0.3724651468014641,0.06019405322220944,0.057263188479592116,0.013652157525519286,0.030196608670770023,0.007814782642612927,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
3,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,expected_entropy_class,Image Level,0.40688196271919397,0.09461086913993932,0.05239018048872378,0.008779149534650948,0.02707896384775029,0.004697137819593196,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
4,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,expected_variance_mask,Patch Level,0.4789472838715064,0.16667619029225178,0.07296726011416063,0.0293562291600878,0.03831532867819857,0.015933502650041474,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
5,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,expected_variance_mask,Image Level,0.4497531807128833,0.13748208713362864,0.07660089621181683,0.032989865257744,0.040259093123991244,0.01787726709583415,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
6,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,pred_entropy_class,Patch Level,0.36394867427822675,0.0516775806989721,0.0626477439316264,0.019036712977553577,0.033378988741916346,0.010997162713759251,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
7,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,pred_entropy_class,Image Level,0.4115979361843382,0.09932684260508357,0.053278690019421,0.009667659065348173,0.027549335939939714,0.005167509911782619,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
8,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,mutual_information_class,Patch Level,0.3730832608184616,0.06081216723920696,0.07592174607201894,0.032310715117946115,0.04123816156986618,0.018856335541709082,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
9,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,mutual_information_class,Image Level,0.42145539969075746,0.10918430611150282,0.05659053973065259,0.01297950877657976,0.029328098222904633,0.006946272194747537,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
10,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,softmax_cls_score,Patch Level,0.388855289027269,0.07658419544801437,0.0617580659045243,0.018147034950451467,0.03223970151308275,0.009857875484925657,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
11,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",2,Averaging,TTA+Timeseries,3,0.5791687757067299,0.7062299289975356,0.8011970089986187,0.5646324933346067,0.6966394879219691,0.8105088831798343,0.4614864237108965,0.5899908735620186,0.7687822213220101,0.6647559407946086,0.7907674238597295,0.8247714000361522,0.7981495608369383,0.8825550478204839,0.9281633873086109,0.9627435033959125,softmax_cls_score,Image Level,0.4066023268043207,0.09433123322506604,0.053826571630056344,0.010215540675983514,0.027852141204434216,0.005470315176277121,0.019496552623122287,0.2787513039515735,0.10487973816941584,0.030065788602512657,0.9060242771833057,0.25424433489539855,0
